"","year","no_data","corn","other_crops","urban","wetlands","Herbaceuous_Grassland_Hay_Pasture","dbf","Evergreen_North","Shrub_Scrub","Evergreen_South"
"1",2012,0.0117263581134655,0.279084380709704,0.258899587260746,0.0401381549271556,0.00168457908852239,0.18643920179685,0.217832388079786,5.09576402481292e-05,0.00102781725304635,0.00311657513047671
"2",2013,0.0121039922609193,0.27651356499822,0.261657556947399,0.0400026109167608,0.00195813873375618,0.185618532066216,0.217961546321844,5.99712439710033e-05,0.00117304560734542,0.00295104090356877
"3",2014,0.0115515989409747,0.263962025753693,0.279482008299665,0.0435486415361092,0.00217112072088722,0.175981620936767,0.21939934927696,6.60813823851972e-05,0.000650082032336736,0.00318747112022166
"4",2015,0.0119067863653815,0.263781606712234,0.286378976863936,0.0433089127438643,0.00251725779442603,0.154426759833498,0.232871828908624,6.48409783978503e-05,0.00180861950251846,0.00293441029711907
"5",2016,0.0118978702067234,0.259543828472487,0.294472671054732,0.043152229205379,0.00245725185149212,0.150161175932464,0.233690206123512,4.64684822794447e-05,0.00147622198037,0.00310207669056051
"6",2017,0.0119842427252235,0.250056929917093,0.305252212887478,0.0432110035211677,0.00259180148692472,0.149414571541494,0.233267912914777,3.76347807345143e-05,0.00148498427968204,0.00269870594542588
"7",2018,0.0124011103944395,0.243570810719039,0.314999979318012,0.0428224170761863,0.00374477092433189,0.145677996493159,0.230136728601489,0.000125593217558649,0.00246737517387698,0.00405321808190704
"8",2019,0.0132655710205895,0.228625769252222,0.296324840522627,0.0449580254737713,0.00646970912079099,0.163927180546271,0.230263047644084,0.00149485238417982,0.000240335197058391,0.014430668838406
"9",2020,0.0134262906427667,0.258059741788843,0.309254363057163,0.0449082163514209,0.00665822298909277,0.121153791628732,0.22955870023819,0.00154920045934517,0.000221775075963889,0.015209697768482
"10",2021,0.0122669716417623,0.25002323888491,0.308698366759792,0.0609777758526802,0.00745335335114698,0.133285471833214,0.214348722863914,0.000721258471459778,0.00021986382828651,0.0120049765128335
